item_id	name	birthdate	birthplace	jobtitle	roles	gender
nm0942510	John Wright	1936-10-12	NA	Editor/Editorial Department	 Editor:43 Editorial department:6	NA
nm0128550	John Caglione Jr.	1936-10-12	NA	Make-Up Department/Special Effects	 Makeup Department:80 Thanks:2 Self:7	NA
nm0237774	Doug Drexler	1936-10-12	NA	Visual Effects/Art Department/Make-Up Department	 Visual effects:21 Art department:7 Makeup Department:21 Producer:4 Actor:9 Special effects:3 Animation department:4 Self:13	M
nm0264108	Jean-Pierre Eychenne	1936-10-12	NA	Make-Up/ /Department	 Makeup Department:61	NA
nm0814227	Stephen Sondheim	1930-03-22	New York City, New York, USA	Soundtrack/Music Department/Writer	 Soundtrack:316 Music department:33 Writer:4 Composer:5 Miscellaneous Crew:2 Thanks:7 Self:66 Archive footage:5	M
nm0799060	Shel Silverstein	1930-09-25	Chicago, Illinois, USA	Soundtrack/Writer/Composer	 Soundtrack:51 Writer:13 Composer:5 Actor:4 Music department:2 Self:7 Archive footage:2	M
nm0079376	John Bettis	1930-09-25	NA	Soundtrack/Music Department/Composer	 Soundtrack:128 Music department:10 Composer:6 Self:5	M
nm0000954	Jon Bon Jovi	1962-03-02	Perth Amboy, New Jersey, USA	Soundtrack/Actor/Composer	 Soundtrack:174 Actor:96 Composer:80 Thanks:5 Self:200 Archive footage:33	F
nm0933604	Jim Wilson	1962-03-02	NA	Producer/Director/Actor	 Producer:16 Director:6 Actor:2 Writer:2 Thanks:3 Self:11	M
nm0918456	Lisa Weinstein	1962-03-02	NA	Producer/Miscellaneous Crew	 Producer:2	NA
nm0661910	Nick Park	1958-12-06	Preston, Lancashire, England, UK	Writer/Producer/Animation Department	 Writer:22 Producer:13 Animation department:10 Director:8 Actor:3 Thanks:12 Self:50 Archive footage:4	M
nm0102547	Bruno Bozzetto	1938-03-03	Milan, Lombardy, Italy	Director/Writer/Producer	 Director:61 Writer:52 Producer:39 Animation department:21 Cinematographer:3 Self:4	M
nm0203215	Adam Davidson	1964-08-13	Los Angeles, California, USA	Director/Producer/Actor	 Director:67 Producer:7 Actor:8 Second Unit Director or Assistant Director:3 Self:3	M
nm0728123	Hillary Anne Ripps	1964-08-13	NA	Producer/Miscellaneous Crew/Editorial Department	 Producer:46 Miscellaneous Crew:9	M
nm0372421	Jonathan Heap	1964-08-13	NA	Director/Producer/Writer	 Director:15 Producer:8 Writer:4 Camera and Electrical Department:2 Editor:2	NA
nm0208343	Raymond De Felitta	1964-06-30	New York City, New York, USA	Director/Writer/Actor	 Director:11 Writer:7 Actor:4 Producer:3 Soundtrack:3 Self:3	M
nm0343446	Matthew Gross	1964-06-30	NA	Producer/Miscellaneous Crew/Director	 Producer:15 Miscellaneous Crew:77 Director:2 Self:4	NA
nm0146341	Peter Cattaneo	1964-07-01	Twickenham, London, England, UK	Director/Writer/Editor	 Director:16 Self:3	M
nm0859877	Barnaby Thompson	1964-07-01	UK	Producer/Director/Second Unit Director or Assistant Director	 Producer:35 Director:3 Second Unit Director or Assistant Director:2 Thanks:4 Self:6	M
nm0423615	Bernard Joffa	1964-07-01	NA	Director/Producer/Writer	 Director:2 Producer:2	M
nm0629356	Anthony E. Nicholas	1964-07-01	NA	P/r/o/d/u/c/e/r		M
nm0673964	Jeffrey Perkins	1964-07-01	NA	Sound/ /Department	 Sound department:158	M
nm0072904	Bill W. Benton	1964-07-01	NA	Sound Department/Actor	 Sound department:128 Thanks:11	M
nm0928088	Charles M. Wilborn	1964-07-01	NA	Sound Department/Actor	 Sound department:75	M
nm0146600	Thomas Causey	1949-12-05	New Orleans, Louisiana, USA	Sound Department/Transportation Department	 Sound department:83	NA
nm0132372	David E. Campbell	1949-12-05	NA	Sound Department/Music Department	 Sound department:182	NA
nm0376153	Doug Hemphill	1949-12-05	NA	Sound Department/Producer/Miscellaneous Crew	 Sound department:181 Self:3	M
nm0329208	Richard Bryce Goodman	1949-12-05	NA	Sound Department/Composer	 Sound department:77	M
nm0086658	Michael Blake	1945-07-05	Fort Bragg, North Carolina, USA	Writer/Director/Producer	 Writer:3 Thanks:2 Self:9	M
nm0001873	Steven Zaillian	1953-01-30	Fresno, California, USA	Writer/Producer/Director	 Writer:20 Producer:14 Director:4 Editor:5 Thanks:7 Self:12	M
nm0683380	Nicholas Pileggi	1933-02-22	New York City, New York, USA	Writer/Producer	 Writer:9 Producer:7 Thanks:9 Self:29	M
nm0443582	Nicholas Kazan	1945-09-15	New York, USA	Writer/Producer/Director	 Writer:18 Producer:5 Director:2 Self:2	M
nm0922799	Donald E. Westlake	1933-07-12	Brooklyn, New York, USA	Writer/Actor	 Writer:41 Thanks:3 Self:5	M
nm0748022	Bruce Joel Rubin	1943-03-10	Detroit, Michigan, USA	Writer/Producer/Actor	 Writer:14 Producer:3 Actor:3 Second Unit Director or Assistant Director:2 Thanks:3 Self:12	M
nm0001775	Whit Stillman	1952-01-25	Washington, District of Columbia, USA	Director/Writer/Producer	 Director:7 Writer:6 Producer:6 Actor:3 Self:15	M
nm0000164	Anthony Hopkins	1937-12-31	Margam, Port Talbot, West Glamorgan, Wales, UK	Actor/Soundtrack/Composer	 Actor:134 Soundtrack:8 Composer:4 Producer:4 Director:3 Music department:2 Thanks:10 Self:188 Archive footage:39	M
nm0000560	Nick Nolte	1941-02-08	Omaha, Nebraska, USA	Actor/Producer/Soundtrack	 Actor:103 Producer:2 Thanks:2 Self:70 Archive footage:13	M
nm0000172	Harvey Keitel	1939-05-13	Brooklyn, New York, USA	Actor/Producer/Soundtrack	 Actor:154 Producer:5 Thanks:9 Self:73 Archive footage:23	M
nm0503627	Michael Lerner	1941-06-22	Brooklyn, New York, USA	A/c/t/o/r	 Actor:179 Thanks:2 Self:11 Archive footage:2	M
nm0000169	Tommy Lee Jones	1946-09-15	San Saba, Texas, USA	Actor/Director/Soundtrack	 Actor:82 Director:4 Soundtrack:4 Writer:3 Producer:4 Thanks:4 Self:99 Archive footage:17	M
nm0000368	Laura Dern	1967-02-10	Saint John's Health Center, Santa Monica, Los Angeles County, California, USA	Actress/Producer/Writer	 Actress:88 Producer:4 Director:2 Thanks:6 Self:154 Archive footage:20	F
nm0001689	Mercedes Ruehl	1948-02-28	Queens, New York City, New York, USA	Actress/Soundtrack	 Actress:67 Self:22 Archive footage:6	F
nm0000496	Juliette Lewis	1973-06-21	Los Angeles, California, USA	Actress/Soundtrack/Director	 Actress:90 Soundtrack:19 Thanks:3 Self:110 Archive footage:17	F
nm0625075	Kate Nelligan	1950-03-16	London, Ontario, Canada	Actress	 Actress:59 Thanks:2 Self:17 Archive footage:2	F
nm0309357	Dennis Gassner	1950-03-16	Vancouver, British Columbia, Canada	Production Designer/Miscellaneous Crew/Art Department	 Production designer:28 Miscellaneous Crew:4 Art department:3 Self:17	M
nm0354101	Nancy Haigh	1950-03-16	NA	Set Decorator/Art Department/Miscellaneous Crew	 Set decorator:38 Art department:6	NA
nm0139649	Cindy Carr	1950-03-16	NA	Set Decorator/Art Director/Art Department	 Set decorator:47 Art director:2	NA
nm0375288	Caryl Heller	1950-03-16	NA	Set Decorator/Art Department	 Set decorator:6 Art department:2	NA
nm0004229	Adam Greenberg	1950-03-16	Kraków, Malopolskie, Poland	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:76 Camera and Electrical Department:4 Miscellaneous Crew:2 Self:11	M
nm0003552	Stephen Goldblatt	1950-03-16	South Africa	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:36 Camera and Electrical Department:5 Self:8	M
nm0000939	Adrian Biddle	1952-07-20	Woolwich, London, England, UK	Cinematographer/Camera and Electrical Department	 Cinematographer:25 Camera and Electrical Department:10 Thanks:3	M
nm0395224	Richard Hornung	1950-02-16	Bethlehem, Pennsylvania, USA	Costume Designer/Costume and Wardrobe Department/Production Designer	 Costume designer:21	M
nm0430452	Corinne Jorry	1950-02-16	NA	Costume Designer/Costume and Wardrobe Department	 Costume designer:56	NA
nm0616848	Ruth Myers	1950-02-16	Manchester, Lancashire, England, UK	Costume Designer/Costume and Wardrobe Department	 Costume designer:90 Costume and Wardrobe Department:5 Self:19	F
nm0001129	Jonathan Demme	1944-02-22	Baldwin, Long Island, New York, USA	Director/Producer/Writer	 Director:69 Producer:45 Writer:11 Miscellaneous Crew:8 Actor:7 Cinematographer:2 Second Unit Director or Assistant Director:2 Camera and Electrical Department:2 Thanks:25 Self:73 Archive footage:5	M
nm0005436	John Singleton	1968-01-06	Los Angeles, California, USA	Producer/Writer/Director	 Producer:16 Writer:6 Director:18 Actor:7 Miscellaneous Crew:3 Music department:2 Thanks:10 Self:86 Archive footage:4	M
nm0000631	Ridley Scott	1937-11-30	South Shields, Tyne and Wear, England, UK	Producer/Director/Production Designer	 Producer:133 Director:49 Production designer:18 Writer:4 Camera and Electrical Department:2 Thanks:20 Self:177 Archive footage:14	NA
nm0509921	Allie Light	1937-11-30	NA	Director/Producer/Editor	 Director:12 Producer:8 Editor:6 Thanks:4	F
nm0764770	Irving Saraf	1937-11-30	Lódz, Lódzkie, Poland	Editor/Producer/Director	 Editor:19 Producer:12 Director:12 Cinematographer:8 Camera and Electrical Department:4 Thanks:2	M
nm0713203	Alan Raymond	1937-11-30	NA	Producer/Director/Cinematographer	 Producer:9 Director:9 Cinematographer:9 Editor:6 Writer:3 Self:4	NA
nm0713371	Susan Raymond	1937-11-30	NA	Director/Producer/Writer	 Director:12 Producer:9 Writer:6 Sound department:4 Self:8	NA
nm0068874	Hava Kohav Beller	1937-11-30	NA	Director/Writer/Producer	 Director:3 Writer:3	F
nm0307233	Diane Garey	1937-11-30	NA	Editor/Producer/Director	 Editor:6 Producer:6 Director:5	F
nm0153899	Debra Chasnoff	1957-10-12	Philadelphia, Pennsylvania, USA	Director/Producer/Writer	 Director:10 Producer:7 Writer:2 Self:2	NA
nm0401795	Immy Humes	1957-10-12	NA	Producer/Director/Writer	 Producer:9 Director:6 Writer:2 Miscellaneous Crew:2	NA
nm0885108	Eric Valli	1957-10-12	Dijon, France	Director/Writer/Producer	 Director:12 Writer:3 Producer:2	M
nm0195751	Alain Majani d'Inguimbert	1957-10-12	NA	Producer/Director/Writer	 Producer:3	NA
nm0248975	Bernard Edelman	1946-12-14	Brooklyn, New York, USA	Miscellaneous Crew/Producer/Writer	 Miscellaneous Crew:3 Producer:2	NA
nm1117217	David McGowan	1946-12-14	NA	Camera and Electrical Department/Producer/Director	 Camera and Electrical Department:3 Producer:3 Director:2 Editorial department:2	NA
nm0003977	Gary Rydstrom	1959-06-29	Chicago, Illinois, USA	Sound Department/Miscellaneous Crew/Director	 Sound department:118 Miscellaneous Crew:7 Director:4 Writer:3 Thanks:25 Self:31	M
nm0096187	Gloria S. Borders	1959-06-29	NA	Sound Department/Producer/Miscellaneous Crew	 Sound department:33 Producer:3 Miscellaneous Crew:3 Thanks:10	NA
nm0588326	F. Hudson Miller	1959-06-29	NA	Sound/ /Department	 Sound department:76	NA
nm0912704	Gene Warren Jr.	1959-06-29	NA	Visual Effects/Animation Department/Special Effects	 Visual effects:70 Special effects:7 Thanks:5 Self:13	NA
nm0355292	Allen Hall	1959-06-29	NA	Special Effects/Actor	 Special effects:67 Self:8	M
nm0684439	Clay Pinney	1959-06-29	NA	Special Effects/Art Department/Miscellaneous Crew	 Special effects:47 Self:5	NA
nm0108094	Eric Brevig	1959-06-29	NA	Visual Effects/Director/Second Unit Director or Assistant Director	 Visual effects:32 Director:4 Second Unit Director or Assistant Director:6 Thanks:3 Self:14	M
nm0838233	Mark Sullivan	1959-06-29	NA	Visual Effects/Director/Writer	 Visual effects:61	M
nm0768817	Pietro Scalia	1960-03-17	Catania, Sicily, Italy	Editor/Editorial Department/Music Department	 Editor:38 Editorial department:10 Music department:2 Producer:2 Thanks:15 Self:10	NA
nm0119322	Conrad Buff IV	1948-07-08	Los Angeles, California, USA	Editor/Visual Effects/Editorial Department	 Editor:35 Visual effects:7 Editorial department:4 Self:2	M
nm0325358	Mark Goldblatt	1948-07-08	NA	Editor/Editorial Department/Director	 Editor:37 Editorial department:11 Director:3 Miscellaneous Crew:2 Thanks:9 Self:21	NA
nm0365239	Richard A. Harris	1948-07-08	NA	Editor/Director/Producer	 Editor:43	NA
nm0206015	Jeff Dawn	1948-07-08	NA	Make-Up Department/Actor	 Makeup Department:55 Self:7	M
nm0807702	Christina Smith	1945-05-10	New York City, New York, USA	Make-Up Department/Producer	 Makeup Department:97 Self:2	F
nm0922881	Monty Westmore	1923-06-12	Los Angeles, California, USA	Make-Up/ /Department	 Makeup Department:106	M
nm0134148	Greg Cannom	1923-06-12	USA	Make-Up Department/Location Management/Special Effects	 Makeup Department:121 Special effects:6 Actor:3 Miscellaneous Crew:3 Self:23	M
nm0590114	Michael Mills	1923-06-12	NA	Make-Up Department/Actor/Special Effects	 Makeup Department:85 Actor:7 Self:2	M
nm0294076	Ed French	1951-04-17	Boston, Massachusetts, USA	Make-Up Department/Special Effects/Actor	 Makeup Department:75 Special effects:10 Actor:5 Self:3	M
nm0811057	Richard Snell	1955-12-19	San Francisco, California, USA	Make-Up Department/Special Effects/Actor	 Makeup Department:42 Special effects:4	M
nm0006133	James Newton Howard	1951-06-09	Los Angeles, California, USA	Music Department/Composer/Soundtrack	 Music department:80 Composer:161 Soundtrack:58 Thanks:11 Self:31 Archive footage:2	M
nm0004383	Michael Kamen	1948-04-15	New York City, New York, USA	Soundtrack/Music Department/Composer	 Soundtrack:116 Music department:65 Composer:89 Thanks:6 Self:18 Archive footage:3	M
nm0001898	Bryan Adams	1959-11-05	Kingston, Ontario, Canada	Soundtrack/Composer/Actor	 Soundtrack:179 Composer:39 Actor:37 Music department:11 Director:3 Thanks:6 Self:153 Archive footage:21	M
nm0486172	Robert John Lange	1948-11-11	Mufilira, Zambia	Soundtrack/Composer/Producer	 Soundtrack:197 Composer:66 Producer:4 Music department:3 Archive footage:2	NA
nm0768324	Edward Saxon	1948-11-11	St. Louis, Missouri, USA	Producer/Actor/Executive	 Producer:28 Actor:7 Thanks:8 Self:3	M
nm0882588	Kenneth Utt	1921-07-13	Winston-Salem, North Carolina, USA	Producer/Production Manager/Actor	 Producer:27 Production manager:18 Actor:11 Miscellaneous Crew:3 Thanks:2 Self:3	M
nm0102508	Ron Bozman	1921-07-13	NA	Producer/Second Unit Director or Assistant Director/Production Manager	 Producer:32 Second Unit Director or Assistant Director:24 Production manager:9 Location management:3 Thanks:2 Self:4	NA
nm0353893	Don Hahn	1955-11-26	Chicago, Illinois, USA	Producer/Director/Miscellaneous Crew	 Producer:34 Director:8 Miscellaneous Crew:6 Writer:4 Production manager:2 Thanks:18 Self:38	M
nm0440140	Andrew S. Karsch	1955-11-26	NA	Producer/Writer/Executive	 Producer:21 Thanks:2	M
nm0337319	Daniel Greaves	1955-11-26	NA	Director/Writer/Producer	 Director:6 Writer:4 Producer:3 Animation department:2	NA
nm0385975	Christopher Hinton	1955-11-26	Galt, Ontario, Canada	Animation Department/Director/Miscellaneous Crew	 Animation department:12 Director:11 Miscellaneous Crew:6 Writer:3 Actor:2 Art department:2	M
nm0863195	Wendy Tilby	1955-11-26	Edmonton, Alberta, Canada	Animation Department/Director/Writer	 Animation department:8 Director:7 Writer:3 Miscellaneous Crew:2 Thanks:7 Self:2	F
nm0935641	Seth Winston	1950-08-15	Philadelphia, Pennsylvania, USA	Writer/Director/Producer	 Writer:2 Thanks:3	M
nm0294975	Robert N. Fried	1950-08-15	NA	Producer/Writer/Director	 Producer:137 Writer:25 Director:4	M
nm0450387	Stephen Kessler	1950-08-15	New York City, New York, USA	Director/Producer/Writer	 Director:4 Producer:4 Writer:3 Self:3	M
nm0175865	T.R. Conroy	1950-08-15	NA	Producer/Miscellaneous Crew/Production Manager	 Producer:8 Miscellaneous Crew:3 Production manager:2	M
nm0557294	David Massey	1950-08-15	NA	Producer/Director/Writer	 Producer:10 Director:5 Writer:2 Thanks:3	NA
nm0426348	Tom Johnson	1950-08-15	NA	Sound/ /Department	 Sound department:156 Self:2	NA
nm1491296	Glenn Williams	1950-08-15	NA	Sound/ /Department	 Sound department:20	NA
nm0437301	Doc Kane	1950-08-15	NA	Sound Department/Music Department/Editorial Department	 Sound department:434 Music department:2	NA
nm0848217	Ted Tally	1952-04-09	NA	Writer/Miscellaneous Crew/Producer	 Writer:9 Miscellaneous Crew:3 Self:5	M
nm0002140	Agnieszka Holland	1948-11-28	Warsaw, Mazowieckie, Poland	Director/Writer/Producer	 Director:44 Writer:27 Producer:2 Actress:6 Miscellaneous Crew:4 Second Unit Director or Assistant Director:2 Thanks:5 Self:35	F
nm0280840	Fannie Flagg	1944-09-21	Birmingham, Alabama, USA	Actress/Writer/Location Management	 Actress:19 Writer:3 Self:46 Archive footage:3	F
nm0811807	Carol Sobieski	1939-03-16	Chicago, Illinois, USA	Writer/Producer	 Writer:31 Producer:3	F
nm0804466	Zachary Sklar	1939-03-16	NA	W/r/i/t/e/r	 Writer:3 Thanks:2	NA
nm0175852	Pat Conroy	1945-10-26	Atlanta, Georgia, USA	W/r/i/t/e/r	 Writer:6 Self:5	M
nm0426539	Becky Johnston	1945-10-26	NA	Writer/Miscellaneous Crew/Actress	 Writer:5 Miscellaneous Crew:3 Actress:2 Second Unit Director or Assistant Director:2 Camera and Electrical Department:2 Self:3	F
nm0451884	Callie Khouri	1957-11-27	San Antonio, Texas, USA	Writer/Producer/Director	 Writer:5 Producer:3 Director:4 Thanks:2 Self:13	NA
nm0864812	James Toback	1944-11-23	New York City, New York, USA	Writer/Director/Actor	 Writer:17 Director:12 Actor:9 Producer:6 Thanks:2 Self:23	M
nm0440462	Meg Kasdan	1944-11-23	NA	Actress/Writer/Producer	 Actress:4 Writer:2 Producer:2 Self:3	F
nm0481418	Richard LaGravenese	1959-10-30	Brooklyn, New York, USA	Writer/Producer/Director	 Writer:23 Producer:8 Director:7 Actor:3 Miscellaneous Crew:2 Thanks:6 Self:10	M
nm0000142	Clint Eastwood	1930-05-31	San Francisco, California, USA	Actor/Producer/Director	 Actor:72 Producer:45 Director:40 Soundtrack:32 Composer:9 Miscellaneous Crew:5 Music department:2 Thanks:35 Self:293 Archive footage:72	M
nm0000375	Robert Downey Jr.	1965-04-04	Manhattan, New York City, New York, USA	Actor/Producer/Soundtrack	 Actor:91 Producer:8 Soundtrack:9 Thanks:7 Self:219 Archive footage:47	M
nm0001653	Stephen Rea	1946-10-31	Belfast, Northern Ireland, UK	Actor/Writer	 Actor:125 Thanks:3 Self:31	M
nm0001601	David Paymer	1954-08-30	Oceanside, Long Island, New York, USA	Actor/Director/Producer	 Actor:160 Director:34 Self:14 Archive footage:2	M
nm0001109	Jaye Davidson	1968-03-21	Riverside, California, USA	A/c/t/o/r	 Actor:4 Self:2	M
nm0000668	Emma Thompson	1959-04-15	Paddington, London, England, UK	Actress/Writer/Producer	 Actress:84 Writer:15 Producer:6 Soundtrack:7 Thanks:6 Self:140 Archive footage:30	F
nm0000366	Catherine Deneuve	1943-10-22	Paris, France	Actress/Soundtrack/Producer	 Actress:133 Soundtrack:13 Producer:2 Thanks:5 Self:140 Archive footage:70	F
nm0000673	Marisa Tomei	1964-12-04	Brooklyn, New York City, New York, USA	Actress/Producer	 Actress:79 Producer:2 Thanks:3 Self:118 Archive footage:15	F
nm0687506	Joan Plowright	1929-10-28	Brigg, Lincolnshire, England, UK	Actress/Soundtrack	 Actress:75 Self:18 Archive footage:4	F
nm0001669	Miranda Richardson	1958-03-03	Southport, Lancashire, England, UK	Actress/Soundtrack	 Actress:122 Soundtrack:2 Thanks:2 Self:76 Archive footage:6	F
nm0002186	Luciana Arrighi	1958-03-03	Brazil	Production Designer/Costume Designer/Art Department	 Production designer:44 Costume designer:5 Art department:2 Self:4	F
nm0761742	Thomas E. Sanders	1958-03-03	San Pedro, California, USA	Production Designer/Art Director/Director	 Production designer:18 Art director:4 Thanks:2 Self:11	M
nm0124862	Chris Butler	1952-08-14	Tennessee, USA	Set Decorator/Art Department/Miscellaneous Crew	 Set decorator:12 Art department:5	M
nm0085706	Janice Blackie-Goodine	1952-08-14	NA	Set Decorator/Art Department/Production Designer	 Set decorator:31 Art department:7	M
nm0005664	Stephen H. Burum	1939-11-25	Visalia, California, USA	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:45 Camera and Electrical Department:4 Miscellaneous Crew:2 Thanks:2 Self:9	M
nm0005709	Robert Fraisse	1939-11-25	Paris, France	Cinematographer/Camera and Electrical Department/Actor	 Cinematographer:48 Camera and Electrical Department:16 Self:4	M
nm0005726	Jack N. Green	1946-11-18	San Francisco, California, USA	Camera and Electrical Department/Cinematographer/Director	 Camera and Electrical Department:31 Cinematographer:45 Director:2 Thanks:5 Self:12	M
nm0411130	Eiko Ishioka	1938-07-12	Tokyo, Japan	Costume Designer/Director/Production Designer	 Costume designer:11 Director:3 Production designer:3 Costume and Wardrobe Department:2 Miscellaneous Crew:2 Thanks:2 Self:4	F
nm0621042	Sheena Napier	1938-07-12	NA	Costume Designer/Costume and Wardrobe Department	 Costume designer:33 Costume and Wardrobe Department:2	F
nm0141921	Ruth E. Carter	1960-04-10	Springfield, Massachusetts, USA	Costume Designer/Costume and Wardrobe Department/Actress	 Costume designer:63 Costume and Wardrobe Department:3 Self:12	F
nm0000976	Martin Brest	1951-08-08	The Bronx, New York City, New York, USA	Director/Producer/Actor	 Director:9 Producer:6 Actor:5 Writer:4 Editor:2 Self:6	M
nm0001403	Neil Jordan	1950-02-25	Sligo, Ireland	Writer/Producer/Director	 Writer:19 Producer:11 Director:23 Thanks:2 Self:36 Archive footage:2	M
nm0872134	Barbara Trent	1950-02-25	NA	Producer/Director/Editor	 Producer:4 Director:3 Self:2	NA
nm0440722	David Kasper	1950-02-25	NA	Producer/Editor/Director	 Producer:3 Editor:2	NA
nm0369361	David Haugland	1950-02-25	NA	Producer/Director/Production Manager	 Producer:4 Director:2	NA
nm0242183	Sally Dundas	1950-02-25	NA	Production Manager/Producer	 Production manager:7 Producer:6	F
nm0587263	William Miles	1931-04-18	Harlem, New York, USA	Producer/Director	 Producer:5 Director:3	F
nm0742466	Nina Rosenblum	1931-04-18	NA	Director/Producer/Writer	 Director:15 Producer:15 Writer:3 Thanks:2	F
nm0807001	Margaret Smilow	1931-04-18	NA	Producer/Miscellaneous Crew/Executive	 Producer:22 Miscellaneous Crew:2	F
nm0052953	Roma Baran	1931-04-18	NA	Music Department/Soundtrack/Producer	 Music department:6 Soundtrack:3 Self:3	NA
nm0329559	Thomas C. Goodwin	1931-04-18	Baltimore, Maryland, USA	Camera and Electrical Department/Second Unit Director or Assistant Director/Producer	 Camera and Electrical Department:2	NA
nm0943458	Gerardine Wurzburg	1931-04-18	NA	Director/Producer	 Director:5 Producer:4	NA
nm0640337	Geoffrey O'Connor	1931-04-18	NA	Director/Producer/Cinematographer	 Director:15 Producer:13 Cinematographer:15 Camera and Electrical Department:9 Writer:4	M
nm0918157	Wendy L. Weinberg	1931-04-18	NA	Editorial Department/Producer		M
nm2423498	Richard Elson	1931-04-18	NA	Producer/Director/Writer	 Producer:7	NA
nm0090618	Sally Bochner	1931-04-18	NA	Producer/Director/Writer	 Producer:85 Director:4 Writer:3 Miscellaneous Crew:2	NA
nm0264936	Dorothy Fadiman	1931-04-18	NA	Producer/Director	 Producer:11 Director:10 Self:3	NA
nm0565344	Tom C. McCarthy	1931-04-18	NA	Sound Department/Manager	 Sound department:45	M
nm0831823	David E. Stone	1947-12-11	Philadelphia, Pennsylvania, USA	Sound Department/Editor/Writer	 Sound department:115 Editor:2 Thanks:3	M
nm0505311	John Leveque	1947-12-11	NA	Sound/ /Department	 Sound department:76	NA
nm0821801	Bruce Stambler	1947-12-11	NA	Sound/ /Department	 Sound department:90 Self:2	NA
nm0156956	Doug Chiang	1962-02-16	Taipei, Taiwan	Visual Effects/Art Department/Production Designer	 Visual effects:10 Art department:9 Production designer:5 Thanks:2 Self:22	M
nm0810817	Douglas Smythe	1962-02-16	NA	Visual effects	 Visual effects:30 Thanks:2 Self:4	NA
nm0940430	Tom Woodruff Jr.	1962-02-16	Williamsport, Pennsylvania, USA	Special Effects/Make-Up Department/Actor	 Special effects:48 Makeup Department:49 Actor:38 Miscellaneous Crew:15 Visual effects:4 Director:4 Producer:4 Music department:2 Thanks:9 Self:53	M
nm0319266	Alec Gillis	1959-08-29	NA	Special Effects/Make-Up Department/Miscellaneous Crew	 Special effects:59 Makeup Department:40 Miscellaneous Crew:20 Actor:10 Visual effects:6 Director:3 Writer:2 Producer:3 Costume and Wardrobe Department:2 Thanks:12 Self:52	M
nm0277842	Michael L. Fink	1959-08-29	NA	Visual Effects/Second Unit Director or Assistant Director	 Visual effects:41 Second Unit Director or Assistant Director:4 Thanks:7 Self:12	NA
nm0057652	Craig Barron	1959-08-29	NA	Visual Effects/Miscellaneous Crew/Executive	 Visual effects:118 Miscellaneous Crew:2 Thanks:4 Self:14	NA
nm0185088	Joel Cox	1942-04-02	Los Angeles, California, USA	Editor/Editorial Department/Music Department	 Editor:46 Editorial department:13 Thanks:9 Self:19	M
nm0500371	Robert Leighton	1942-04-02	NA	Editor/Editorial Department/Sound Department	 Editor:34 Editorial department:6 Sound department:3 Thanks:2	M
nm0659013	Kant Pan	1942-04-02	NA	Editor/Sound Department/Editorial Department	 Editor:98 Sound department:21 Editorial department:15 Second Unit Director or Assistant Director:2 Thanks:2	NA
nm0674419	Geraldine Peroni	1953-07-05	Manhattan, New York City, New York, USA	Editor/Editorial Department/Sound Department	 Editor:22 Editorial department:11 Thanks:2	F
nm0612817	Matthew W. Mungle	1956-10-26	Atoka, Oklahoma, USA	Make-Up Department/Special Effects/Miscellaneous Crew	 Makeup Department:247 Special effects:13 Miscellaneous Crew:2 Thanks:2 Self:12	NA
nm0817463	Ronnie Specter	1956-10-26	NA	Make-Up/ /Department	 Makeup Department:102	NA
nm0086601	John Blake	1956-10-26	NA	Make-Up Department/Special Effects/Miscellaneous Crew	 Makeup Department:68 Special effects:5 Miscellaneous Crew:2	NA
nm0006142	Mark Isham	1951-09-07	New York City, New York, USA	Composer/Music Department/Soundtrack	 Composer:170 Music department:54 Soundtrack:31 Actor:2 Thanks:4 Self:16	M
nm0006442	Richard Robbins	1940-12-04	South Weymouth, Massachusetts, USA	Composer/Soundtrack/Director	 Composer:34 Soundtrack:7 Director:2 Actor:2 Music department:2 Self:3	M
nm0005358	Tim Rice	1944-11-10	Amersham, Buckinghamshire, England, UK	Soundtrack/Music Department/Writer	 Soundtrack:213 Music department:15 Writer:14 Composer:9 Actor:4 Producer:2 Self:109 Archive footage:13	M
nm0295267	Jud Friedman	1944-11-10	NA	Soundtrack/Composer/Music Department	 Soundtrack:32 Composer:3 Music department:2	M
nm0723591	Allan Rich	1944-11-10	NA	Soundtrack/Composer	 Soundtrack:33 Composer:3	M
nm0860419	Linda Thompson	1950-05-23	Memphis, Tennessee, USA	Soundtrack/Actress/Composer	 Soundtrack:54 Actress:17 Composer:3 Self:34 Archive footage:3	F
nm0469234	Robert Kraft	1950-05-23	NA	Music Department/Soundtrack/Composer	 Music department:132 Soundtrack:15 Composer:8 Producer:2 Thanks:2 Self:4	NA
nm0322865	Arne Glimcher	1938-03-02	Duluth, Minnesota, USA	Producer/Director/Soundtrack	 Producer:8 Director:4 Soundtrack:4 Self:6	M
nm0001661	Rob Reiner	1947-03-06	The Bronx, New York City, New York, USA	Actor/Writer/Producer	 Actor:73 Writer:22 Producer:29 Director:26 Soundtrack:14 Thanks:11 Self:205 Archive footage:18	M
nm0770650	Andrew Scheinman	1947-03-06	NA	Producer/Writer/Director	 Producer:14 Writer:6 Thanks:3	NA
nm0941262	Stephen Woolley	1956-09-03	London, England, UK	Producer/Second Unit Director or Assistant Director/Director	 Producer:64 Thanks:7 Self:22	M
